年月,國別,台北市[金額，新台幣],台北市[筆數],新北市[金額，新台幣],新北市[筆數],桃園市[金額，新台幣],桃園市[筆數],台中市[金額，新台幣],台中市[筆數],台南市[金額，新台幣],台南市[筆數],高雄市[金額，新台幣],高雄市[筆數]
105年02月,盧森堡,96968262,116564,103347657,128627,43762918,53094,102893854,73026,25852734,35075,38847060,55132
105年02月,南韓,96988891,21206,103600738,20381,41497955,7839,61131760,9273,26738993,4389,42915478,7371
105年02月,荷蘭,147174461,277080,100767035,177864,30141775,24595,56479228,50554,12377438,10009,25704157,17195
105年02月,法國,152904066,10346,81924434,6567,26569814,2097,43157263,2748,14288663,1271,32085929,2404
105年03月,英國,933087247,415258,760197666,532463,312269559,241792,387374118,262482,175098387,144965,285212767,229039
105年03月,日本,824300064,167027,703818935,149407,254396496,52815,307990949,59541,176716998,36153,308958968,62031
105年03月,美國,666126819,134373,346324430,83921,150962604,30677,164827261,35140,76503159,20684,114301547,29000
105年03月,中國,379898898,117139,347973772,144707,130493414,60964,148215935,73916,68978716,37187,120437315,60886
105年03月,香港,352033583,44665,186682875,37401,62032534,13209,74422556,15093,41170809,7954,73142100,13582
105年03月,新加坡,282329203,47194,165912662,38143,65046740,13726,94276847,17947,77863934,8162,63204998,14115
105年03月,荷蘭,189720400,341526,117527998,213117,32000049,31356,46123570,62921,15475811,12951,34611412,29311
105年03月,盧森堡,109361087,107439,96333758,116149,40059815,50652,84132898,61565,23369612,33504,35117686,50171
105年03月,法國,142494985,10104,81323305,5802,31929785,2131,40172165,2696,23125271,1499,29264356,2203
105年03月,南韓,89614188,21604,87189642,21561,41649980,8641,45945953,9420,22158860,5142,38504159,7757
105年04月,日本,1003479903,194740,782145356,163906,284065707,58975,351598383,67448,176573463,37021,319888746,61909
105年04月,英國,854026346,408001,693111186,517905,285765654,228781,354294574,251515,160178506,141256,259465505,223176
105年04月,美國,646970139,128609,335726404,80489,136400280,30570,156152980,34141,69593468,18124,111840339,28605
105年04月,中國,382285715,119602,339223972,152057,124315965,64243,152381329,79476,74572452,41235,117191970,66359
105年04月,香港,319577911,44899,195179872,37571,59246682,13040,79473995,15155,47237635,8422,74774290,14015
105年04月,新加坡,273075247,46695,170434215,38575,73670581,14052,94432706,18968,92610620,8592,63151825,14230
105年04月,荷蘭,188680865,359062,119668800,225564,30874971,33613,41592708,66660,16281472,13027,34704068,36377
105年04月,南韓,122611014,28762,117744565,27278,54106504,10881,59542483,11938,28410782,6290,48180954,10437
105年04月,盧森堡,117481635,115976,99043265,129752,39242638,54622,64388606,68912,24954168,37471,37340913,57002
105年04月,法國,126015973,10775,83770309,5981,25236444,2315,52951885,2767,24345629,1385,30594982,2530
105年05月,英國,983393780,435316,771274205,537867,302808566,234182,378095049,259095,176889201,146658,292438855,238305
105年05月,日本,835933985,177305,693231662,159324,253000785,57212,311979737,65013,173149206,37885,297067687,60480
105年05月,美國,713272530,132316,337710029,81874,140794703,31195,171220676,35043,73235547,19758,119365020,30274
105年05月,中國,382150167,130121,338646448,164571,136339510,71066,162383077,87927,82454625,45170,124787357,72733
105年05月,香港,333130054,44395,178878343,36223,62687269,13446,85875632,16031,51016411,8689,76326458,14570
105年05月,法國,208025672,11568,130456013,6172,60013353,2445,189986515,2920,52402203,1448,43204574,2499
105年05月,新加坡,261821136,48457,162864735,40614,58888714,14148,91964370,18791,37252630,9596,64440862,14001
105年05月,荷蘭,199071993,400922,123979954,251667,33649432,38743,44765606,75374,16965770,14905,33120560,48783
105年05月,南韓,115634390,26516,110196767,26276,50908451,10708,54231092,10804,25383109,5561,47443944,9205
105年05月,盧森堡,104210112,137043,112161291,155161,48007047,65153,63221809,82893,28669214,45569,43922945,69791
105年06月,英國,1120681214,482807,810453260,605599,345803945,274457,418147007,299214,222389699,174691,307697045,268890
105年06月,日本,1039669879,219812,830848959,188930,309099151,68506,352208324,72988,200551385,43596,316953405,67534
105年06月,美國,763838256,151488,377319130,92697,147494096,35273,178036591,40558,80481823,22516,124976112,33026
105年06月,中國,367084755,124489,318816766,155517,136160780,66512,157926800,83627,75084780,44167,124824148,69816
105年06月,香港,353370889,52748,208107176,44801,72278103,17044,99611408,20008,53617428,11248,93729555,17829
105年06月,法國,319044131,19195,141921463,10395,60656582,3792,106525931,4375,32741273,2088,59453143,3617
105年06月,新加坡,262240146,48029,153759760,39426,60380746,14711,79542712,17324,49181791,9698,57836776,14472
105年06月,荷蘭,222446669,404624,134253344,255480,41253986,42861,52981368,76771,22823316,16540,37717811,54247
105年06月,南韓,142995342,36201,131587276,32575,52609200,12138,65548075,13636,33132962,7088,48150916,10352
105年06月,盧森堡,107021086,138125,110643187,158410,48610977,70932,62248932,85551,32591632,49577,46256877,74730
105年07月,英國,1140966582,504363,858510579,627282,353082427,280705,443327341,310062,222025267,176596,354651012,285315
105年07月,日本,1021281636,217376,810804157,182414,299609337,68144,381223326,80546,202885305,43721,352250429,72054
105年07月,美國,748404870,165832,355997439,94660,154679252,37757,175480144,43832,90295175,29333,129203149,40125
105年07月,中國,358884122,124739,319652173,153506,129137704,65583,149654200,82109,74269896,42514,119346461,69458
105年07月,新加坡,298272174,47140,168174445,41030,62329147,14937,79767180,17739,47688838,9507,56471559,14766
105年07月,香港,285590548,50919,162619695,40558,58846077,14726,75347401,17281,40653577,9628,65639555,15664
105年07月,荷蘭,224987697,473830,143405122,293915,36886207,50406,53763044,85989,21291223,18019,46330285,68193
105年07月,南韓,121064198,29347,137163640,28221,55469373,11516,69283979,13599,34188842,6705,55894515,11582
105年07月,盧森堡,103649460,148817,119384866,167169,67988565,73972,65950475,90234,34017285,52786,47537712,78149
105年07月,法國,209692724,16873,87094143,9088,36732007,3696,44404396,4449,21684625,2308,32047030,3855
105年08月,英國,1068761769,480914,804679345,593303,322580824,266547,445544324,300033,199241078,163023,318410048,261196
105年08月,日本,870626593,177162,650094512,145949,257029119,57256,298291911,63121,168824072,37007,280576929,61953
105年08月,美國,721577521,168117,363561829,100830,163829615,38245,182056627,43989,86675354,27910,121761416,39908
105年08月,中國,340287214,122169,314835066,150707,128347956,65350,154911867,83563,76154614,41652,114833864,68725
105年08月,香港,265870500,53096,148342871,41357,53873328,14379,74829827,17444,33704307,8918,69613446,15802
105年08月,新加坡,246577747,44619,152465037,37187,57474582,13654,79346832,17437,33762074,9100,52906528,13402
105年08月,荷蘭,224667895,508155,151320088,316669,39549150,55297,58774583,95755,22254540,18313,47365562,79680
105年08月,南韓,120352133,30720,119619623,29142,56833765,12239,65404185,12740,31321402,6882,50104917,10425
105年08月,盧森堡,107338035,139645,114669624,156220,48473298,65984,58481800,88658,30984435,47401,45181171,70628
105年08月,澳門,111403664,6007,63683424,4762,25559065,1810,49473725,2160,8157430,1105,18685110,1892
105年09月,英國,1004184163,443231,759822440,546660,296732256,241683,374776399,270419,174635528,142223,289131015,227827
105年09月,日本,926920028,193649,730887860,168958,252584991,59255,306389942,65344,177986316,39039,286656664,62063
105年09月,美國,653206942,153687,321599703,91568,133955063,34969,163355860,39872,73010052,22240,106696498,36033
105年09月,中國,334002781,114001,290802026,143220,113507435,60557,144527591,77633,64187235,37389,103803051,62092
105年09月,香港,278078505,50757,177306849,39835,51697786,14219,75739551,17077,47779227,8438,62826954,14373
105年09月,新加坡,235037535,41702,146165146,35866,53298299,12427,76457846,16469,32878714,7835,53551422,11535
105年09月,荷蘭,221771880,485539,150350449,317109,41124191,57463,55917537,97038,20539903,17504,44238016,87466
105年09月,南韓,111987454,29770,113920817,29509,44529980,10142,56173868,11887,24670764,5720,40167297,9323
105年09月,法國,178728791,15356,82336459,8601,25681850,3048,38228107,3375,13166908,1652,26338104,2605
105年09月,盧森堡,80139662,118717,95591825,132292,35911422,52887,51613013,78529,24292025,38430,36087083,56451
105年10月,英國,963082884,427975,746006058,536098,302596401,235662,392493526,270011,168975064,133952,281849482,225952
105年10月,日本,896803521,182864,688125512,157249,244045179,55990,293542103,63461,163245458,34937,260330795,58166
105年10月,美國,652268960,141813,323420915,88626,116954594,34391,140811832,38396,67343511,20895,104300377,35551
105年10月,中國,319820275,112636,306651409,144086,104468617,58444,139319448,77920,57203729,36968,104473391,61099
105年10月,香港,271417656,42870,158106253,35219,50652268,11849,73004302,14885,31580770,6807,56611788,12540
105年10月,新加坡,228769626,39340,131548224,31221,58349847,12250,77603853,15560,42978358,7005,50347347,11442
105年10月,荷蘭,236935396,521560,161628408,332657,42779573,62224,56475648,100846,21707493,17650,46382625,88860
105年10月,南韓,136794236,30683,112946856,28918,42500172,10345,53750465,11818,26250268,5927,42576397,9435
105年10月,法國,170031676,12593,86008029,7100,21458057,2601,29466536,3306,16774333,1440,24273454,2633
105年10月,盧森堡,81830880,95759,79803586,105039,35788286,40342,49626029,65020,18969567,28410,28985471,43787
105年11月,英國,894401466,367882,678902141,452651,298891485,207668,348093255,222429,162551401,117452,251383148,198168
105年11月,日本,737722578,162052,556901464,136960,200922696,49640,269579242,59604,129891918,30473,230346454,52584
105年11月,美國,634480973,147531,374165367,97423,127996163,37363,167018669,46062,72279720,22055,120397098,34278
105年11月,中國,346869340,140976,334255006,176824,128909396,72760,161245986,91494,73522192,44006,116123976,72176
105年11月,香港,280035206,42191,161675954,34044,55384275,12644,74056316,15052,33768212,7362,59812620,12653
105年11月,盧森堡,133398579,164370,135740677,180234,99993169,73930,93067623,104881,33273209,50191,48348901,75572
105年11月,荷蘭,232261051,549696,148691107,341749,38482268,62972,52080944,102018,18090139,16500,42143717,89012
105年11月,新加坡,215413849,38404,119306401,29303,48392677,10881,74830926,14858,23478121,6807,44762598,10454
105年11月,南韓,115369544,26200,97261602,24200,39496867,9220,46733937,10605,23136032,5528,37144541,8337
105年11月,法國,97268316,8869,78060812,5900,28715115,2471,40438018,2528,11927717,1079,19816543,2112
105年12月,日本,755256555,170446,578591479,144366,215636592,51599,264750510,58351,140963516,34056,255784389,58111
105年12月,英國,655632232,216076,471697815,297055,215688204,144214,269023415,155874,123323259,85762,191002174,135033
105年12月,美國,547477675,132555,305977192,92876,129154868,35806,158439904,39615,62254339,19739,101388488,34417
105年12月,中國,282488163,112535,282814311,146834,107156059,59523,140455566,76075,59226424,36360,102404691,63399
105年12月,盧森堡,199081178,291110,212313986,316415,101587821,131147,111967746,165369,50543413,79415,79891892,131165
105年12月,香港,284634106,40710,169076448,34334,56380432,12724,82381853,14947,35028169,7080,58200146,13009
105年12月,新加坡,163094336,31991,95312550,25182,36915204,9657,58615604,12746,43511091,6304,37619840,9395
105年12月,荷蘭,181546355,523397,115310679,334230,28350783,60028,46551249,105581,12877685,14836,28667200,92331
105年12月,法國,110360580,8769,96673885,6225,27606962,2371,39612139,2823,15745096,1160,26226578,2406
105年12月,南韓,93753246,24061,85050052,23646,35280642,8713,38285650,9971,22059184,5331,33174998,8309
106年01月,日本,723242974,161554,555509541,135456,194072367,49053,246658902,55293,123330388,29497,217381412,50721
106年01月,英國,648204743,228638,502365824,309486,204456854,145280,245398775,153860,111910185,81895,189678816,142652
